complaint_number,name,phone,aadhaar,address,complaint_text,complaint_type,assignee,sla_date,sla_days,support_level_1,support_level_2,status,submission_time,mandal,village
AP-2025-550835,Bhavani Prasad,9674311185.0,XXXX-XXXX-1185,"D.No. 83/16, Main Road, Koduru, Kolluru Mandal","Overcrowding & Bus Fleet Shortage in Kolluru
To:
The Regional Manager,
APSRTC, Kolluru Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Koduru - Kolluru Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to inconve...",APSRTC bus services,Civil Supplies Inspector,2025-08-20,7,,,Inspection Scheduled,2025-07-17 10:24:41,Kolluru,Koduru
AP-2025-166973,Lakshmi Garu,9691669035.0,XXXX-XXXX-9035,"D.No. 137/5, Ambedkar Nagar, Koduru, Kovur Mandal","Overcrowding & Bus Fleet Shortage in Kovur
To:
The Regional Manager,
APSRTC, Kovur Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Kovur Main Road. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to inconvenience, dela...",APSRTC bus services,Civil Supplies Inspector,2025-08-20,7,,,Registered,2025-07-24 10:24:41,Kovur,Koduru
AP-2025-346037,Bhavani Rao,9852841471.0,XXXX-XXXX-1471,"D.No. 172/12, School Road, Kuchipudi, Nuzvid Mandal","Overcrowding & Bus Fleet Shortage in Nuzvid
To:
The Regional Manager,
APSRTC, Nuzvid Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Nuzvid Main Road. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to inconvenience, d...",APSRTC bus services,Assistant Engineer (PR),2025-08-20,7,,,Resolved,2025-07-23 10:24:41,Nuzvid,Kuchipudi
AP-2025-200324,Praveen Krishna,9773183276.0,XXXX-XXXX-3276,"D.No. 57/1, Gandhi St, Peddapuram, Kakinada Rural Mandal","Overcrowding & Bus Fleet Shortage in Kakinada Rural
To:
The Regional Manager,
APSRTC, Kakinada Rural Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Kakinada Rural Main Road. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is lea...",APSRTC bus services,Panchayat Secretary,2025-08-20,7,,,Assigned,2025-07-15 10:24:41,Kakinada Rural,Peddapuram
AP-2025-578851,Srinivas Garu,9767899802.0,XXXX-XXXX-9802,"D.No. 34/19, School Road, Nidamanuru, Ichchapuram Mandal","Land Mutation Delay / False Closure of Grievance
To:
The Tahsildar,
Ichchapuram, Andhra Pradesh.
Subject: Request for Immediate Action on Pending Land Mutation and False Closure of Grievance
Respected Sir/Madam,
I am writing to bring to your attention that my grievance regarding the mutation of my agricultural land in Survey No. 215/17, located in Nidamanuru/Ichchapuram, was closed on the Public Grievance Redressal Portal as ""resolved"" on 24/07/2025. However, no action has been taken and the ...",Land mutation/name correction pending,Tahsildar/MRO,2025-08-28,15,,,Work Order Issued,2025-07-16 10:24:41,Ichchapuram,Nidamanuru
AP-2025-353355,Haritha Murthy,9960146391.0,XXXX-XXXX-6391,"D.No. 187/2, Gandhi St, Narsipatnam, Dharmavaram Mandal","Overcrowding & Bus Fleet Shortage in Dharmavaram
To:
The Regional Manager,
APSRTC, Dharmavaram Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Dharmavaram Main Road. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to i...",APSRTC bus services,Assistant Engineer (RWSS),2025-08-20,7,,,Assigned,2025-08-09 10:24:41,Dharmavaram,Narsipatnam
AP-2025-726175,Madhavi Patel,9929701878.0,XXXX-XXXX-1878,"D.No. 72/15, Ramalayam St, Pentapadu, Tirupati Rural Mandal","Land Mutation Delay / False Closure of Grievance
To:
The Tahsildar,
Tirupati Rural, Andhra Pradesh.
Subject: Request for Immediate Action on Pending Land Mutation and False Closure of Grievance
Respected Sir/Madam,
I am writing to bring to your attention that my grievance regarding the mutation of my agricultural land in Survey No. 114/14, located in Pentapadu/Tirupati Rural, was closed on the Public Grievance Redressal Portal as ""resolved"" on 30/07/2025. However, no action has been taken and...",Land mutation/name correction pending,Tahsildar/MRO,2025-08-28,15,,,Inspected,2025-07-19 10:24:41,Tirupati Rural,Pentapadu
AP-2025-771171,Prasad Yadav,9962145318.0,XXXX-XXXX-5318,"D.No. 124/7, Temple St, Tanuku, Proddatur Mandal","Overcrowding & Bus Fleet Shortage in Proddatur
To:
The Regional Manager,
APSRTC, Proddatur Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Tanuku - Proddatur Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to i...",APSRTC bus services,Civil Supplies Inspector,2025-08-20,7,,,Registered,2025-07-31 10:24:41,Proddatur,Tanuku
AP-2025-526438,Rajesh Murthy,9926621182.0,XXXX-XXXX-1182,"D.No. 49/10, Ramalayam St, Kommugudem, Anandapuram Mandal","Land Mutation Delay / False Closure of Grievance
To:
The Tahsildar,
Anandapuram, Andhra Pradesh.
Subject: Request for Immediate Action on Pending Land Mutation and False Closure of Grievance
Respected Sir/Madam,
I am writing to bring to your attention that my grievance regarding the mutation of my agricultural land in Survey No. 158/3, located in Kommugudem/Anandapuram, was closed on the Public Grievance Redressal Portal as ""resolved"" on 23/07/2025. However, no action has been taken and the m...",Land mutation/name correction pending,Tahsildar/MRO,2025-08-28,15,,,In Progress,2025-07-18 10:24:41,Anandapuram,Kommugudem
AP-2025-159611,Praveen Garu,9716107397.0,XXXX-XXXX-7397,"D.No. 131/3, Ambedkar Nagar, Mogaltur, Peddapuram Mandal","Land Mutation Delay / False Closure of Grievance
To:
The Tahsildar,
Peddapuram, Andhra Pradesh.
Subject: Request for Immediate Action on Pending Land Mutation and False Closure of Grievance
Respected Sir/Madam,
I am writing to bring to your attention that my grievance regarding the mutation of my agricultural land in Survey No. 287/18, located in Mogaltur/Peddapuram, was closed on the Public Grievance Redressal Portal as ""resolved"" on 20/07/2025. However, no action has been taken and the muta...",Land mutation/name correction pending,Tahsildar/MRO,2025-08-28,15,,,Work Order Issued,2025-08-11 10:24:41,Peddapuram,Mogaltur
AP-2025-982609,Praveen Nair,9676505583.0,XXXX-XXXX-5583,"D.No. 21/14, Station Road, Nidamanuru, Kothapeta Mandal","Overcrowding & Bus Fleet Shortage in Kothapeta
To:
The Regional Manager,
APSRTC, Kothapeta Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Kothapeta - Nidamanuru. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to inco...",APSRTC bus services,Civil Supplies Inspector,2025-08-20,7,,,In Progress,2025-08-10 10:24:41,Kothapeta,Nidamanuru
AP-2025-719596,Ramesh Patel,9859094114.0,XXXX-XXXX-4114,"D.No. 81/3, Main Road, Rajanagaram, Palasa Mandal","Overcrowding & Bus Fleet Shortage in Palasa
To:
The Regional Manager,
APSRTC, Palasa Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Rajanagaram - Palasa Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to incon...",APSRTC bus services,Line Inspector,2025-08-20,7,,,Work Order Issued,2025-07-20 10:24:41,Palasa,Rajanagaram
AP-2025-978338,Anitha Babu,9636229839.0,XXXX-XXXX-9839,"D.No. 95/10, Ambedkar Nagar, Kovvur, Repalle Mandal","Overcrowding & Bus Fleet Shortage in Repalle
To:
The Regional Manager,
APSRTC, Repalle Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Kovvur - Repalle Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to inconve...",APSRTC bus services,Panchayat Secretary,2025-08-20,7,,,Assigned,2025-07-21 10:24:41,Repalle,Kovvur
AP-2025-862940,Kiran Patel,9822394058.0,XXXX-XXXX-4058,"D.No. 28/18, Ambedkar Nagar, Koduru, Gudivada Mandal","Overcrowding & Bus Fleet Shortage in Gudivada
To:
The Regional Manager,
APSRTC, Gudivada Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Gudivada Main Road. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to inconvenie...",APSRTC bus services,Municipal AE (Electrical),2025-08-20,7,,,Reopened,2025-07-20 10:24:41,Gudivada,Koduru
AP-2025-851440,Srikanth Garu,9815454489.0,XXXX-XXXX-4489,"D.No. 24/14, Market Road, Penuganchiprolu, Nellimarla Mandal","Overcrowding & Bus Fleet Shortage in Nellimarla
To:
The Regional Manager,
APSRTC, Nellimarla Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Penuganchiprolu - Nellimarla Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is ...",APSRTC bus services,AE (DISCOM Operations),2025-08-20,7,,,Work Order Issued,2025-07-25 10:24:41,Nellimarla,Penuganchiprolu
AP-2025-966799,Madhavi Krishna,9970226916.0,XXXX-XXXX-6916,"D.No. 3/4, Gandhi St, Pentapadu, Vijayawada Rural Mandal","Land Mutation Delay / False Closure of Grievance
To:
The Tahsildar,
Vijayawada Rural, Andhra Pradesh.
Subject: Request for Immediate Action on Pending Land Mutation and False Closure of Grievance
Respected Sir/Madam,
I am writing to bring to your attention that my grievance regarding the mutation of my agricultural land in Survey No. 234/4, located in Pentapadu/Vijayawada Rural, was closed on the Public Grievance Redressal Portal as ""resolved"" on 04/08/2025. However, no action has been taken ...",Land mutation/name correction pending,Tahsildar/MRO,2025-08-28,15,,,Reopened,2025-08-01 10:24:41,Vijayawada Rural,Pentapadu
AP-2025-886211,Anitha Naidu,9849154157.0,XXXX-XXXX-4157,"D.No. 11/12, Ramalayam St, Enikepadu, Gudivada Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Krishna District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Enikepadu whose livelihood has been severely impacted by crop failure due to drought. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 30/07/2025, I have not yet received any relief amount. S...",Crop damage assessment request,Assistant Project Officer,2025-08-28,15,,,Closed,2025-07-22 10:24:41,Gudivada,Enikepadu
AP-2025-654074,Prasad Yadav,9754269775.0,XXXX-XXXX-9775,"D.No. 7/6, Station Road, Tadepalle, Avanigadda Mandal","Overcrowding & Bus Fleet Shortage in Avanigadda
To:
The Regional Manager,
APSRTC, Avanigadda Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Tadepalle - Avanigadda Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leadin...",APSRTC bus services,Junior Engineer (RWSS),2025-08-20,7,,,Resolved,2025-08-11 10:24:41,Avanigadda,Tadepalle
AP-2025-204971,Suresh Garu,9731428969.0,XXXX-XXXX-8969,"D.No. 118/12, Market Road, Peddapuram, Avanigadda Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Srikakulam District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Peddapuram whose livelihood has been severely impacted by crop failure due to flood. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 20/07/2025, I have not yet received any relief amount....",Crop damage assessment request,Assistant Director (Agri),2025-08-28,15,,,Inspection Scheduled,2025-07-31 10:24:41,Avanigadda,Peddapuram
AP-2025-789314,Srinivas Goud,9847704028.0,XXXX-XXXX-4028,"D.No. 165/17, Temple St, Poranki, Ichchapuram Mandal","Overcrowding & Bus Fleet Shortage in Ichchapuram
To:
The Regional Manager,
APSRTC, Ichchapuram Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Poranki - Ichchapuram Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leadi...",APSRTC bus services,Panchayat Secretary,2025-08-20,7,,,Inspected,2025-07-27 10:24:41,Ichchapuram,Poranki
AP-2025-439774,Kiran Nair,9947117870.0,XXXX-XXXX-7870,"D.No. 187/11, Temple St, Atmakur, Gannavaram Mandal","AP Police Seva App Downtime
To:
The Superintendent of Police,
Krishna, Andhra Pradesh.
Subject: Inconvenience Due to Non-Functioning of AP Police Seva App
Respected Sir/Madam,
The AP Police Seva mobile application, which is widely used for online complaint registration, traffic challan payments, and safety alerts, has been inaccessible since 01/08/2025. This is causing significant inconvenience to citizens, as we are unable to file complaints or check case updates digitally.
I request your go...",Police/cyber services,Headmaster,2025-08-18,5,,,Inspection Scheduled,2025-08-08 10:24:41,Gannavaram,Atmakur
AP-2025-321771,Ravi Prasad,9749107982.0,XXXX-XXXX-7982,"D.No. 111/3, Station Road, Kovvur, Atmakur Mandal","Overcrowding & Bus Fleet Shortage in Atmakur
To:
The Regional Manager,
APSRTC, Atmakur Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Kovvur - Atmakur Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to inconve...",APSRTC bus services,Civil Supplies Inspector,2025-08-20,7,,,Verification Completed,2025-08-01 10:24:41,Atmakur,Kovvur
AP-2025-989002,Swapna Varma,9869529587.0,XXXX-XXXX-9587,"D.No. 33/7, Temple St, Atmakur, Avanigadda Mandal","AP Police Seva App Downtime
To:
The Superintendent of Police,
Srikakulam, Andhra Pradesh.
Subject: Inconvenience Due to Non-Functioning of AP Police Seva App
Respected Sir/Madam,
The AP Police Seva mobile application, which is widely used for online complaint registration, traffic challan payments, and safety alerts, has been inaccessible since 08/08/2025. This is causing significant inconvenience to citizens, as we are unable to file complaints or check case updates digitally.
I request your...",Police/cyber services,Headmaster,2025-08-18,5,,,Resolved,2025-08-11 10:24:41,Avanigadda,Atmakur
AP-2025-229976,Rajesh Rao,9994370211.0,XXXX-XXXX-0211,"D.No. 149/20, Station Road, Devarapalli, Bheemunipatnam Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Visakhapatnam District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Devarapalli whose livelihood has been severely impacted by crop failure due to pest. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 17/07/2025, I have not yet received any relief amou...",Crop damage assessment request,Assistant Director (Agri),2025-08-28,15,,,In Progress,2025-07-27 10:24:41,Bheemunipatnam,Devarapalli
AP-2025-940131,Lakshmi Pillai,9820027373.0,XXXX-XXXX-7373,"D.No. 193/8, Market Road, Payakaraopeta, Proddatur Mandal","Overcrowding & Bus Fleet Shortage in Proddatur
To:
The Regional Manager,
APSRTC, Proddatur Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Proddatur - Payakaraopeta. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to i...",APSRTC bus services,Municipal AE (Electrical),2025-08-20,7,,,Inspected,2025-07-20 10:24:41,Proddatur,Payakaraopeta
AP-2025-455665,Sudha Goud,9954500264.0,XXXX-XXXX-0264,"D.No. 162/19, Ramalayam St, Kollipara, Tekkali Mandal","Overcrowding & Bus Fleet Shortage in Tekkali
To:
The Regional Manager,
APSRTC, Tekkali Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Tekkali Main Road. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to inconvenience...",APSRTC bus services,Assistant Engineer (RWSS),2025-08-20,7,,,Registered,2025-08-08 10:24:41,Tekkali,Kollipara
AP-2025-332607,Jyothi Kumar,9796340638.0,XXXX-XXXX-0638,"D.No. 179/17, School Road, Bhogapuram, Guntakal Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Anantapur District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Bhogapuram whose livelihood has been severely impacted by crop failure due to flood. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 21/07/2025, I have not yet received any relief amount. ...",Crop damage assessment request,Agriculture Extension Officer (AEO),2025-08-28,15,,,Inspection Scheduled,2025-08-05 10:24:41,Guntakal,Bhogapuram
AP-2025-267268,Srikanth Krishna,9891094352.0,XXXX-XXXX-4352,"D.No. 114/20, Temple St, Peddapuram, Nuzvid Mandal","Land Mutation Delay / False Closure of Grievance
To:
The Tahsildar,
Nuzvid, Andhra Pradesh.
Subject: Request for Immediate Action on Pending Land Mutation and False Closure of Grievance
Respected Sir/Madam,
I am writing to bring to your attention that my grievance regarding the mutation of my agricultural land in Survey No. 223/9, located in Peddapuram/Nuzvid, was closed on the Public Grievance Redressal Portal as ""resolved"" on 01/08/2025. However, no action has been taken and the mutation is...",Land mutation/name correction pending,Tahsildar/MRO,2025-08-28,15,,,Payment Initiated,2025-07-19 10:24:41,Nuzvid,Peddapuram
AP-2025-144126,Srikanth Garu,9739484676.0,XXXX-XXXX-4676,"D.No. 113/3, Market Road, Pendurthi, Anandapuram Mandal","Overcrowding & Bus Fleet Shortage in Anandapuram
To:
The Regional Manager,
APSRTC, Anandapuram Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Pendurthi - Anandapuram Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is lea...",APSRTC bus services,Assistant Engineer (PR),2025-08-20,7,,,Verification Completed,2025-07-16 10:24:41,Anandapuram,Pendurthi
AP-2025-232983,Anitha Kumar,9984512294.0,XXXX-XXXX-2294,"D.No. 40/7, Gandhi St, Pentapadu, Cheepurupalle Mandal","Overcrowding & Bus Fleet Shortage in Cheepurupalle
To:
The Regional Manager,
APSRTC, Cheepurupalle Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Pentapadu - Cheepurupalle Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation ...",APSRTC bus services,Junior Engineer (RWSS),2025-08-20,7,,,Resolved,2025-08-03 10:24:41,Cheepurupalle,Pentapadu
AP-2025-417947,Jyothi Varma,9692205091.0,XXXX-XXXX-5091,"D.No. 148/13, School Road, Pentapadu, Srikalahasti Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Chittoor District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Pentapadu whose livelihood has been severely impacted by crop failure due to pest. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 21/07/2025, I have not yet received any relief amount. Sev...",Crop damage assessment request,Assistant Director (Agri),2025-08-28,15,,,In Progress,2025-07-31 10:24:41,Srikalahasti,Pentapadu
